HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Villarreal,Osasuna,1,2,A,0,0,6,15,12,6,4,6,12,6,5,0
Valencia,Sociedad,2,2,D,0,2,2,9,16,2,5,11,17,4,5,6
Valladolid,Granada,1,2,A,1,0,3,7,12,3,6,14,15,2,4,4
Betis,Ath Madrid,1,1,D,1,1,4,8,10,4,4,12,13,5,5,0
Celta,Sevilla,3,4,A,3,2,5,12,13,5,6,18,15,5,2,3
Osasuna,Elche,2,0,H,1,0,3,9,8,3,2,14,15,4,5,2
Sociedad,Sevilla,1,2,A,1,2,2,5,15,2,7,20,15,7,3,3
Alaves,Huesca,1,0,H,0,0,2,10,9,2,1,15,13,7,3,1
Ath Madrid,Eibar,5,0,H,2,0,7,10,0,7,0,10,10,8,3,0
Betis,Valencia,2,2,D,2,1,5,9,9,5,3,12,10,6,3,3
Cadiz,Celta,0,0,D,0,0,2,5,11,2,4,6,13,4,7,0
Getafe,Real Madrid,0,0,D,0,0,6,19,10,6,2,17,8,6,6,3
Levante,Villarreal,1,5,A,1,2,3,12,14,3,7,9,7,4,5,2
Levante,Sevilla,0,1,A,0,0,1,6,10,1,3,15,13,2,3,4
Osasuna,Valencia,3,1,H,2,1,9,18,10,9,5,17,11,5,6,1
Betis,Ath Bilbao,0,0,D,0,0,2,6,16,2,4,10,16,5,4,3
Alaves,Villarreal,2,1,H,1,0,4,9,10,4,5,8,11,3,8,2
Elche,Valladolid,1,1,D,1,0,3,9,12,3,4,23,11,4,6,5
Cadiz,Real Madrid,0,3,A,0,3,3,14,14,3,4,13,21,7,3,4
Ath Madrid,Huesca,2,0,H,1,0,12,18,5,12,2,9,11,8,1,2
Granada,Eibar,4,1,H,2,0,4,8,16,4,3,13,10,4,7,1
Sociedad,Celta,2,1,H,2,1,3,7,10,3,3,17,17,2,4,4
Barcelona,Getafe,5,2,H,3,1,6,9,5,6,1,8,15,3,1,2
Elche,Levante,1,0,H,1,0,3,8,6,3,1,10,14,4,2,3
Valladolid,Cadiz,1,1,D,1,0,6,13,6,6,2,11,20,5,7,1
Valencia,Alaves,1,1,D,0,0,2,9,6,2,2,17,16,7,2,4
Real Madrid,Betis,0,0,D,0,0,5,17,6,5,2,17,13,8,2,1
Huesca,Getafe,0,2,A,0,1,1,8,6,1,4,16,22,1,0,2
Villarreal,Barcelona,1,2,A,1,2,4,10,15,4,5,16,10,6,1,2
Celta,Osasuna,2,1,H,1,0,2,7,12,2,3,13,12,2,8,1
Sevilla,Granada,2,1,H,1,0,4,10,4,4,2,11,14,5,5,2
Ath Bilbao,Ath Madrid,2,1,H,1,0,3,11,14,3,3,20,7,4,11,4
Eibar,Sociedad,0,1,A,0,1,5,14,5,5,2,8,20,2,3,5
Ath Bilbao,Valladolid,2,2,D,1,0,7,13,14,7,4,8,13,5,7,1
Barcelona,Granada,1,2,A,1,0,4,16,6,4,2,10,22,6,1,0
Celta,Levante,2,0,H,0,0,5,8,10,5,2,12,13,1,5,2
Eibar,Alaves,3,0,H,1,0,4,15,6,4,2,12,12,10,5,0
Elche,Ath Madrid,0,1,A,0,1,1,6,11,1,4,20,16,3,2,3
Huesca,Sociedad,1,0,H,0,0,3,10,7,3,3,14,11,2,7,2
Real Madrid,Osasuna,2,0,H,0,0,6,22,3,6,2,9,12,7,0,0
Valladolid,Betis,1,1,D,0,0,2,10,11,2,4,7,14,3,2,2
Villarreal,Getafe,1,0,H,0,0,3,4,15,3,3,13,17,4,4,1
Granada,Cadiz,0,1,A,0,1,2,9,8,2,4,12,10,6,5,7
Valencia,Barcelona,2,3,A,0,0,4,9,14,4,7,12,14,2,1,2
Sevilla,Ath Bilbao,0,1,A,0,0,3,18,8,3,2,13,15,6,2,1
Sociedad,Elche,2,0,H,0,0,3,16,1,3,0,8,10,7,0,1
Alaves,Levante,2,2,D,1,2,5,15,6,5,3,12,18,8,3,2
Barcelona,Ath Madrid,0,0,D,0,0,7,12,11,7,6,13,26,5,7,3
Cadiz,Huesca,2,1,H,2,1,1,11,13,1,5,14,13,3,3,4
Ath Bilbao,Osasuna,2,2,D,1,1,3,13,13,3,4,4,10,10,4,1
Getafe,Eibar,0,1,A,0,0,2,10,7,2,3,11,11,4,2,1
Valencia,Valladolid,3,0,H,1,0,3,6,19,3,2,17,6,1,9,0
Villarreal,Celta,2,4,A,1,3,7,16,11,7,6,11,16,5,3,3
Real Madrid,Sevilla,2,2,D,0,1,6,16,7,6,3,8,8,7,3,1
Betis,Granada,2,1,H,1,0,6,14,11,6,5,16,11,9,2,2
Osasuna,Cadiz,3,2,H,1,0,4,14,10,4,4,15,12,3,5,2
Elche,Alaves,0,2,A,0,1,4,11,9,4,2,21,15,7,5,2
Levante,Barcelona,3,3,D,0,2,6,16,17,6,5,12,4,8,6,2
Sevilla,Valencia,1,0,H,0,0,4,10,6,4,2,17,6,3,5,2
Celta,Getafe,1,0,H,1,0,1,4,13,1,4,16,18,1,5,1
Huesca,Ath Bilbao,1,0,H,0,0,6,18,4,6,3,9,14,5,0,0
Ath Madrid,Sociedad,2,1,H,2,0,4,12,14,4,7,11,15,1,7,0
Valladolid,Villarreal,0,2,A,0,0,2,11,9,2,3,15,14,3,6,3
Eibar,Betis,1,1,D,0,1,4,14,9,4,4,12,8,5,4,3
Granada,Real Madrid,1,4,A,0,2,5,10,16,5,7,15,9,2,3,3
Alaves,Granada,4,2,H,2,1,9,14,5,9,2,7,11,6,1,2
Ath Bilbao,Real Madrid,0,1,A,0,0,1,8,11,1,2,10,7,4,11,3
Ath Madrid,Osasuna,2,1,H,0,0,9,26,5,9,2,2,13,8,0,1
Barcelona,Celta,1,2,A,1,1,4,20,4,4,4,9,14,7,1,3
Betis,Huesca,1,0,H,0,0,2,10,7,2,0,15,19,2,5,1
Cadiz,Elche,1,3,A,1,0,3,7,20,3,5,13,15,1,8,3
Getafe,Levante,2,1,H,1,1,3,9,5,3,1,15,11,3,4,5
Sociedad,Valladolid,4,1,H,4,0,8,13,19,8,5,16,11,2,4,2
Valencia,Eibar,4,1,H,3,1,5,9,20,5,8,5,7,2,10,0
Villarreal,Sevilla,4,0,H,1,0,5,12,17,5,5,9,7,3,6,0
Levante,Cadiz,2,2,D,1,2,4,17,6,4,2,17,8,7,0,0
Celta,Betis,2,3,A,1,0,4,11,11,4,5,20,20,8,4,6
Eibar,Barcelona,0,1,A,0,0,3,17,7,3,3,11,15,6,3,0
Elche,Ath Bilbao,2,0,H,1,0,3,8,8,3,2,10,6,3,1,3
Huesca,Valencia,0,0,D,0,0,8,23,11,8,4,17,15,9,3,2
Osasuna,Sociedad,0,1,A,0,0,1,7,11,1,1,15,7,3,3,1
Real Madrid,Villarreal,2,1,H,0,1,4,14,6,4,2,8,13,6,1,0
Valladolid,Ath Madrid,1,2,A,1,0,4,10,14,4,3,11,11,4,6,4
Granada,Getafe,0,0,D,0,0,3,9,11,3,2,16,13,6,3,4
Sevilla,Alaves,1,0,H,0,0,2,11,11,2,2,11,8,6,4,1
Ath Bilbao,Barcelona,1,0,H,0,0,5,11,11,5,2,14,9,3,8,1
Celta,Real Madrid,1,3,A,0,1,4,7,17,4,11,17,12,6,4,5
Valencia,Sociedad,1,1,D,0,0,6,14,12,6,3,13,14,3,3,4
Mallorca,Eibar,2,1,H,1,0,4,16,11,4,5,13,14,9,3,2
Leganes,Osasuna,0,1,A,0,0,2,13,4,2,2,17,11,8,0,1
Villarreal,Granada,4,4,D,1,1,7,12,14,7,7,10,16,2,7,3
Alaves,Levante,1,0,H,0,0,2,9,16,2,4,18,15,2,9,2
Espanol,Sevilla,0,2,A,0,1,2,7,12,2,4,11,17,8,4,2
Betis,Valladolid,1,2,A,0,0,4,13,14,4,3,11,19,6,1,2
Ath Madrid,Getafe,1,0,H,1,0,5,5,6,5,0,19,22,3,4,3
Granada,Sevilla,0,1,A,0,0,0,12,11,0,6,13,14,6,6,1
Levante,Villarreal,2,1,H,0,1,4,16,23,4,6,5,9,7,3,1
Osasuna,Eibar,0,0,D,0,0,2,6,12,2,0,15,12,6,6,4
Real Madrid,Valladolid,1,1,D,0,0,4,22,9,4,2,12,11,4,3,2
Celta,Valencia,1,0,H,1,0,6,11,9,6,1,8,12,6,4,1
Getafe,Ath Bilbao,1,1,D,1,1,2,6,4,2,2,15,11,4,6,2
Alaves,Espanol,0,0,D,0,0,2,10,5,2,1,13,10,3,5,3
Mallorca,Sociedad,0,1,A,0,0,4,12,12,4,4,16,12,5,5,1
Leganes,Ath Madrid,0,1,A,0,0,4,10,6,4,4,12,13,9,4,4
Barcelona,Betis,5,2,H,1,1,7,20,4,7,3,14,12,11,0,1
Sevilla,Celta,1,1,D,0,0,5,19,2,5,1,16,9,9,1,4
Ath Bilbao,Sociedad,2,0,H,2,0,5,15,2,5,2,17,17,3,0,2
Osasuna,Barcelona,2,2,D,1,0,5,15,8,5,4,16,9,3,2,3
Getafe,Alaves,1,1,D,1,1,1,15,5,1,1,11,17,4,2,3
Levante,Valladolid,2,0,H,0,0,3,16,15,3,4,9,10,6,6,2
Betis,Leganes,2,1,H,0,0,5,17,19,5,7,14,15,11,8,4
Valencia,Mallorca,2,0,H,1,0,4,9,12,4,1,6,19,7,4,0
Ath Madrid,Eibar,3,2,H,1,2,3,7,6,3,2,9,15,1,1,0
Espanol,Granada,0,3,A,0,1,3,15,14,3,6,6,13,8,6,2
Villarreal,Real Madrid,2,2,D,1,1,5,10,17,5,5,8,14,1,8,1
Mallorca,Ath Bilbao,0,0,D,0,0,1,10,11,1,5,15,18,4,6,4
Real Madrid,Levante,3,2,H,3,0,11,25,8,11,3,13,10,9,6,2
Leganes,Villarreal,0,3,A,0,2,4,10,8,4,4,14,11,8,6,2
Sociedad,Ath Madrid,2,0,H,0,0,5,14,12,5,2,13,10,5,5,1
Barcelona,Valencia,5,2,H,2,1,10,17,9,10,3,11,11,2,5,1
Eibar,Espanol,1,2,A,0,0,1,11,7,1,2,14,16,7,2,2
Alaves,Sevilla,0,1,A,0,1,0,7,19,0,7,13,7,2,6,5
Celta,Granada,0,2,A,0,1,0,4,13,0,3,11,13,3,5,4
Valladolid,Osasuna,1,1,D,0,0,1,11,17,1,5,9,10,10,6,0
Betis,Getafe,1,1,D,0,1,2,7,12,2,4,11,28,5,6,3
Osasuna,Betis,0,0,D,0,0,6,12,7,6,2,15,9,9,4,1
Villarreal,Valladolid,2,0,H,0,0,6,18,7,6,3,12,8,4,8,2
Levante,Eibar,0,0,D,0,0,4,13,18,4,4,9,11,6,7,0
Ath Madrid,Celta,0,0,D,0,0,5,20,6,5,3,14,12,13,3,3
Granada,Barcelona,2,0,H,1,0,4,9,8,4,1,22,12,4,5,3
Getafe,Mallorca,4,2,H,2,0,5,14,7,5,3,15,17,7,2,4
Espanol,Sociedad,1,3,A,0,2,3,17,10,3,5,7,12,5,7,1
Valencia,Leganes,1,1,D,1,1,4,13,13,4,4,14,23,6,6,3
Ath Bilbao,Alaves,2,0,H,1,0,4,13,5,4,1,11,19,3,2,1
Sevilla,Real Madrid,0,1,A,0,0,0,9,7,0,4,16,15,9,6,3
Valladolid,Granada,1,1,D,1,1,5,9,6,5,4,21,18,6,3,3
Betis,Levante,3,1,H,1,1,5,17,17,5,3,11,11,5,2,2
Barcelona,Villarreal,2,1,H,2,1,4,8,11,4,3,4,13,6,5,4
Leganes,Ath Bilbao,1,1,D,0,0,3,7,9,3,2,11,12,4,5,0
Mallorca,Ath Madrid,0,2,A,0,1,3,9,13,3,3,8,15,8,5,3
Valencia,Getafe,3,3,D,3,1,4,8,18,4,5,14,26,4,5,1
Real Madrid,Osasuna,2,0,H,1,0,4,15,4,4,0,13,13,7,5,2
Eibar,Sevilla,3,2,H,0,2,4,11,7,4,4,11,19,3,1,3
Celta,Espanol,1,1,D,0,0,3,14,10,3,4,5,17,6,4,2
Sociedad,Alaves,3,0,H,3,0,7,21,5,7,0,7,20,5,3,1
Villarreal,Betis,5,1,H,1,0,10,17,11,10,6,13,8,3,7,2
Ath Bilbao,Valencia,0,1,A,0,1,3,14,10,3,6,14,12,7,7,2
Getafe,Barcelona,0,2,A,0,1,1,8,10,1,6,23,17,4,1,4
Granada,Leganes,1,0,H,1,0,4,11,15,4,6,19,12,8,3,3
Ath Madrid,Real Madrid,0,0,D,0,0,1,7,14,1,3,14,14,5,7,1
Espanol,Valladolid,0,2,A,0,1,2,16,9,2,6,16,13,4,3,2
Eibar,Celta,2,0,H,0,0,3,7,3,3,2,17,15,6,5,3
Alaves,Mallorca,2,0,H,0,0,6,11,5,6,1,16,14,4,1,2
Levante,Osasuna,1,1,D,1,0,5,10,18,5,3,12,12,7,11,6
Sevilla,Sociedad,3,2,H,1,1,8,21,5,8,2,9,8,7,0,1
Betis,Eibar,1,1,D,0,1,3,12,8,3,2,7,20,4,9,3
Leganes,Levante,1,2,A,0,1,10,25,9,10,2,10,7,9,4,3
Real Madrid,Granada,4,2,H,2,0,10,17,8,10,5,12,18,6,2,4
Valencia,Alaves,2,1,H,1,0,3,11,10,3,4,7,16,4,7,1
Osasuna,Villarreal,2,1,H,0,1,4,16,16,4,5,9,15,8,9,2
Mallorca,Espanol,2,0,H,1,0,3,9,11,3,3,11,11,2,4,1
Celta,Ath Bilbao,1,0,H,0,0,2,13,6,2,2,8,20,6,4,0
Valladolid,Ath Madrid,0,0,D,0,0,1,5,9,1,1,15,14,3,4,6
Sociedad,Getafe,1,2,A,1,0,3,6,13,3,4,20,15,3,8,2
Barcelona,Sevilla,4,0,H,3,0,8,15,16,8,4,10,12,7,10,5
Granada,Osasuna,1,0,H,1,0,2,6,9,2,4,12,17,2,7,2
Eibar,Barcelona,0,3,A,0,1,0,5,9,0,4,16,14,2,2,5
Ath Madrid,Valencia,1,1,D,1,0,4,15,11,4,3,18,12,2,4,2
Getafe,Leganes,2,0,H,0,0,2,5,7,2,3,17,19,2,3,1
Mallorca,Real Madrid,1,0,H,1,0,1,5,13,1,4,20,14,4,4,2
Alaves,Celta,2,0,H,0,0,5,12,14,5,2,20,5,4,6,5
Sociedad,Betis,3,1,H,2,1,6,18,12,6,5,23,12,11,2,4
Espanol,Villarreal,0,1,A,0,1,3,18,11,3,5,11,14,7,3,2
Ath Bilbao,Valladolid,1,1,D,1,0,7,19,9,7,3,12,9,3,4,2
Sevilla,Levante,1,0,H,0,0,5,19,12,5,5,10,11,9,1,2
Villarreal,Alaves,4,1,H,1,0,8,19,12,8,3,12,13,5,4,2
Leganes,Mallorca,1,0,H,1,0,3,9,9,3,1,19,13,4,5,4
Valladolid,Eibar,2,0,H,2,0,4,8,13,4,3,13,13,4,3,1
Ath Madrid,Ath Bilbao,2,0,H,1,0,2,9,9,2,2,14,9,7,7,2
Celta,Sociedad,0,1,A,0,0,1,9,9,1,4,20,12,3,7,5
Granada,Betis,1,0,H,0,0,3,13,12,3,0,13,8,4,2,3
Levante,Espanol,0,1,A,0,1,3,7,14,3,3,10,26,4,7,2
Sevilla,Getafe,2,0,H,0,0,8,15,9,8,4,13,18,5,0,2
Osasuna,Valencia,3,1,H,1,1,13,21,2,13,1,8,6,6,1,1
Alaves,Ath Madrid,1,1,D,0,0,3,11,9,3,3,23,16,4,1,3
Barcelona,Valladolid,5,1,H,3,1,9,18,9,9,1,9,14,6,3,0
Sociedad,Levante,1,2,A,0,2,5,17,13,5,4,15,12,9,5,3
Valencia,Sevilla,1,1,D,0,1,3,10,10,3,1,12,17,6,1,6
Ath Bilbao,Espanol,3,0,H,2,0,5,7,12,5,5,13,20,2,5,0
Betis,Celta,2,1,H,1,0,7,11,18,7,5,16,17,5,10,6
Real Madrid,Leganes,5,0,H,3,0,11,22,5,11,3,12,12,8,3,1
Eibar,Villarreal,2,1,H,0,0,8,25,9,8,2,11,12,8,3,0
Mallorca,Osasuna,2,2,D,1,0,3,11,12,3,4,9,10,5,3,1
Getafe,Granada,3,1,H,2,0,3,8,10,3,2,22,11,2,3,5
Espanol,Valencia,1,2,A,1,0,4,13,11,4,4,20,14,5,5,0
Levante,Barcelona,3,1,H,0,1,3,9,9,3,6,9,13,2,3,1
Sevilla,Ath Madrid,1,1,D,1,0,4,11,14,4,5,13,16,6,3,4
Real Madrid,Betis,0,0,D,0,0,7,22,13,7,3,11,17,9,4,2
Valladolid,Mallorca,3,0,H,1,0,6,12,14,6,1,15,20,2,6,5
Villarreal,Ath Bilbao,0,0,D,0,0,7,11,12,7,2,10,8,8,10,2
Osasuna,Alaves,4,2,H,3,1,6,19,11,6,3,13,17,5,1,4
Celta,Getafe,0,1,A,0,1,2,6,9,2,5,6,19,4,4,3
Leganes,Eibar,1,2,A,1,1,5,12,7,5,4,16,20,4,2,5
Granada,Sociedad,1,2,A,1,1,3,5,9,3,5,15,19,4,5,0
Sociedad,Leganes,1,1,D,0,0,5,11,6,5,2,14,23,5,1,2
Alaves,Valladolid,3,0,H,2,0,5,14,7,5,1,21,16,6,7,3
Valencia,Granada,2,0,H,0,0,4,12,13,4,1,11,15,7,4,0
Eibar,Real Madrid,0,4,A,0,3,1,14,10,1,5,9,8,6,6,0
Barcelona,Celta,4,1,H,2,1,7,10,6,7,5,18,14,2,2,4
Mallorca,Villarreal,3,1,H,2,0,3,5,22,3,6,18,17,2,5,2
Ath Bilbao,Levante,2,1,H,0,1,10,23,8,10,2,13,13,10,2,3
Ath Madrid,Espanol,3,1,H,1,1,5,18,10,5,1,12,15,9,2,2
Getafe,Osasuna,0,0,D,0,0,5,14,4,5,1,15,16,9,5,2
Betis,Sevilla,1,2,A,1,1,5,18,10,5,6,12,21,4,4,2
Levante,Mallorca,2,1,H,0,0,6,13,14,6,7,13,9,3,6,2
Leganes,Barcelona,1,2,A,1,0,4,9,11,4,6,11,10,0,6,1
Betis,Valencia,2,1,H,1,1,8,25,9,8,3,9,13,5,4,2
Granada,Ath Madrid,1,1,D,0,0,3,9,17,3,6,15,17,2,8,4
Real Madrid,Sociedad,3,1,H,1,1,10,18,11,10,6,13,16,4,3,1
Espanol,Getafe,1,1,D,1,1,2,6,11,2,2,23,12,3,3,3
Osasuna,Ath Bilbao,1,2,A,0,1,7,12,6,7,4,15,18,6,2,4
Eibar,Alaves,0,2,A,0,0,7,18,7,7,5,10,11,10,4,1
Villarreal,Celta,1,3,A,0,0,1,15,11,1,7,12,9,8,2,3
Valladolid,Sevilla,0,1,A,0,1,1,7,4,1,2,13,25,8,4,3
Celta,Valladolid,0,0,D,0,0,5,13,9,5,2,11,17,11,3,1
Alaves,Real Madrid,1,2,A,0,0,2,8,12,2,6,18,11,9,4,4
Sociedad,Eibar,4,1,H,1,1,4,15,10,4,4,8,12,6,4,1
Mallorca,Betis,1,2,A,0,2,7,16,15,7,3,16,15,6,5,3
Valencia,Villarreal,2,1,H,0,0,7,13,24,7,7,8,17,6,4,1
Sevilla,Leganes,1,0,H,0,0,8,16,8,8,4,16,7,7,4,3
Ath Bilbao,Granada,2,0,H,1,0,6,14,8,6,1,18,16,4,3,5
Espanol,Osasuna,2,4,A,1,0,5,12,14,5,8,12,16,2,3,1
Getafe,Levante,4,0,H,0,0,9,13,7,9,2,22,14,6,7,2
Ath Madrid,Barcelona,0,1,A,0,0,2,17,13,2,5,12,11,9,5,4
Villarreal,Ath Madrid,0,0,D,0,0,3,23,18,3,3,11,11,11,6,2
Real Madrid,Espanol,2,0,H,1,0,8,18,6,8,2,15,13,5,3,4
Granada,Alaves,3,0,H,0,0,3,13,5,3,1,16,17,6,2,1
Levante,Valencia,2,4,A,2,1,6,17,10,6,6,14,14,5,1,5
Barcelona,Mallorca,5,2,H,4,1,17,25,9,17,3,15,10,8,4,3
Eibar,Getafe,0,1,A,0,0,3,6,6,3,3,16,15,3,8,5
Betis,Ath Bilbao,3,2,H,3,1,6,10,8,6,2,12,15,3,3,2
Valladolid,Sociedad,0,0,D,0,0,2,4,16,2,2,10,19,1,4,0
Leganes,Celta,3,2,H,2,0,8,15,9,8,4,14,11,3,5,3
Osasuna,Sevilla,1,1,D,1,1,1,10,13,1,4,22,10,2,6,4
Alaves,Leganes,1,1,D,0,1,3,10,3,3,1,14,17,2,0,2
Granada,Levante,1,2,A,0,0,4,18,13,4,6,14,12,8,6,4
Sociedad,Barcelona,2,2,D,1,1,5,19,9,5,5,7,8,8,5,0
Ath Bilbao,Eibar,0,0,D,0,0,3,8,8,3,2,7,12,6,7,3
Ath Madrid,Osasuna,2,0,H,0,0,9,19,15,9,3,16,10,6,5,2
Getafe,Valladolid,2,0,H,1,0,3,7,10,3,3,28,10,4,3,3
Celta,Mallorca,2,2,D,1,1,7,18,8,7,2,14,16,3,3,3
Espanol,Betis,2,2,D,2,1,4,16,10,4,5,26,13,7,5,4
Sevilla,Villarreal,1,2,A,0,1,5,24,9,5,3,12,11,14,2,2
Valencia,Real Madrid,1,1,D,0,0,6,9,19,6,6,11,15,1,2,1
Barcelona,Real Madrid,0,0,D,0,0,2,9,17,2,4,5,17,2,6,3
Eibar,Granada,3,0,H,2,0,7,21,12,7,1,17,13,5,5,3
Mallorca,Sevilla,0,2,A,0,1,1,8,13,1,6,15,12,3,6,6
Barcelona,Alaves,4,1,H,2,0,4,8,5,4,3,10,11,3,4,2
Villarreal,Getafe,1,0,H,0,0,4,11,7,4,0,8,18,2,5,2
Valladolid,Valencia,1,1,D,0,0,6,14,5,6,2,10,12,5,4,0
Leganes,Espanol,2,0,H,1,0,5,11,9,5,3,11,15,1,5,1
Osasuna,Sociedad,3,4,A,1,3,7,19,13,7,7,11,12,8,3,6
Betis,Ath Madrid,1,2,A,0,0,2,15,8,2,5,11,14,5,3,4
Levante,Celta,3,1,H,0,1,7,13,12,7,5,8,15,8,7,3
Real Madrid,Ath Bilbao,0,0,D,0,0,8,20,8,8,2,8,14,6,4,1
Valladolid,Leganes,2,2,D,1,2,5,14,12,5,5,16,13,4,3,3
Sevilla,Ath Bilbao,1,1,D,0,1,2,9,6,2,1,16,20,9,1,2
Valencia,Eibar,1,0,H,1,0,1,9,10,1,3,13,20,6,5,1
Getafe,Real Madrid,0,3,A,0,1,4,15,10,4,8,20,14,7,4,3
Ath Madrid,Levante,2,1,H,2,1,8,17,6,8,3,9,10,5,5,1
Espanol,Barcelona,2,2,D,1,0,3,8,14,3,7,17,11,4,5,2
Granada,Mallorca,1,0,H,1,0,4,7,17,4,5,23,11,3,4,5
Sociedad,Villarreal,1,2,A,1,0,2,10,14,2,2,16,14,7,2,5
Alaves,Betis,1,1,D,1,0,1,6,10,1,3,18,15,3,6,7
Celta,Osasuna,1,1,D,0,0,7,20,8,7,1,14,19,6,1,4
Leganes,Getafe,0,3,A,0,3,2,8,8,2,4,22,18,4,4,6
Levante,Alaves,0,1,A,0,0,3,20,14,3,6,12,20,7,6,2
Real Madrid,Sevilla,2,1,H,0,0,4,13,8,4,3,17,12,2,4,3
Osasuna,Valladolid,0,0,D,0,0,5,21,5,5,3,16,10,9,1,2
Eibar,Ath Madrid,2,0,H,1,0,4,9,12,4,4,16,14,6,7,1
Mallorca,Valencia,4,1,H,3,0,6,13,8,6,1,18,11,1,6,4
Betis,Sociedad,3,0,H,2,0,6,14,7,6,0,8,10,6,2,3
Villarreal,Espanol,1,2,A,0,1,5,21,16,5,5,15,18,4,4,1
Ath Bilbao,Celta,1,1,D,0,0,6,22,7,6,3,18,12,13,0,4
Barcelona,Granada,1,0,H,0,0,6,18,5,6,1,11,17,7,0,0
Osasuna,Levante,2,0,H,0,0,3,15,6,3,2,18,11,5,5,3
Espanol,Ath Bilbao,1,1,D,0,1,3,9,11,3,3,14,14,2,3,3
Valencia,Barcelona,2,0,H,0,0,6,8,14,6,5,13,16,2,0,1
Alaves,Villarreal,1,2,A,0,1,6,12,11,6,6,10,12,7,4,2
Sevilla,Granada,2,0,H,2,0,4,12,8,4,1,13,18,3,6,4
Ath Madrid,Leganes,0,0,D,0,0,3,14,10,3,4,10,19,7,6,2
Celta,Eibar,0,0,D,0,0,5,18,5,5,3,9,16,6,3,1
Getafe,Betis,1,0,H,0,0,3,7,8,3,1,19,12,8,4,2
Sociedad,Mallorca,3,0,H,0,0,5,14,8,5,4,15,7,7,3,0
Valladolid,Real Madrid,0,1,A,0,0,0,4,12,0,3,7,11,3,5,1
Granada,Espanol,2,1,H,1,1,2,8,22,2,4,15,17,3,9,3
Real Madrid,Ath Madrid,1,0,H,0,0,5,16,4,5,1,18,11,5,6,2
Mallorca,Valladolid,0,1,A,0,0,4,16,15,4,7,11,10,8,5,4
Valencia,Celta,1,0,H,0,0,5,9,11,5,4,14,20,4,7,6
Leganes,Sociedad,2,1,H,0,1,5,12,2,5,1,24,19,3,1,4
Eibar,Betis,1,1,D,1,1,3,8,14,3,6,15,16,2,7,2
Ath Bilbao,Getafe,0,2,A,0,1,2,8,9,2,3,11,19,5,4,2
Sevilla,Alaves,1,1,D,0,0,3,14,4,3,3,13,12,6,1,2
Villarreal,Osasuna,3,1,H,1,0,4,9,17,4,5,19,15,4,6,3
Barcelona,Levante,2,1,H,2,0,9,23,10,9,5,6,10,8,3,2
Alaves,Eibar,2,1,H,0,0,5,9,5,5,1,16,10,3,5,3
Levante,Leganes,2,0,H,2,0,5,9,12,5,4,18,15,2,2,2
Getafe,Valencia,3,0,H,0,0,10,22,5,10,0,12,6,10,0,4
Valladolid,Villarreal,1,1,D,1,0,1,8,8,1,3,14,22,2,4,3
Ath Madrid,Granada,1,0,H,1,0,3,6,10,3,2,16,19,2,3,4
Espanol,Mallorca,1,0,H,0,0,7,12,7,7,3,26,15,1,7,6
Sociedad,Ath Bilbao,2,1,H,0,0,4,14,6,4,3,7,15,4,4,2
Osasuna,Real Madrid,1,4,A,1,2,4,14,17,4,7,11,15,4,3,2
Celta,Sevilla,2,1,H,0,1,7,13,12,7,4,16,14,3,4,3
Betis,Barcelona,2,3,A,2,2,3,7,10,3,6,21,17,0,8,5
Valencia,Ath Madrid,2,2,D,1,2,3,9,8,3,3,12,16,11,4,3
Mallorca,Alaves,1,0,H,0,0,6,14,10,6,0,16,15,8,5,0
Barcelona,Getafe,2,1,H,2,0,5,12,7,5,2,12,30,2,3,3
Villarreal,Levante,2,1,H,1,0,6,14,11,6,2,15,15,5,10,3
Granada,Valladolid,2,1,H,0,0,5,11,6,5,4,19,13,10,5,3
Sevilla,Espanol,2,2,D,1,1,6,18,5,6,3,17,9,9,2,3
Leganes,Betis,0,0,D,0,0,1,11,3,1,2,15,20,4,2,5
Ath Bilbao,Osasuna,0,1,A,0,1,2,12,6,2,2,14,20,4,0,4
Real Madrid,Celta,2,2,D,0,1,4,15,5,4,3,10,10,9,3,2
Betis,Mallorca,3,3,D,2,2,6,19,11,6,4,13,12,7,1,2
Celta,Leganes,1,0,H,0,0,1,3,11,1,2,13,17,2,9,3
Barcelona,Eibar,5,0,H,3,0,11,13,12,11,5,8,19,5,5,0
Sociedad,Valencia,3,0,H,2,0,7,19,6,7,1,19,9,6,7,1
Levante,Real Madrid,1,0,H,0,0,2,8,19,2,7,16,10,3,7,1
Osasuna,Granada,0,3,A,0,3,1,14,10,1,4,19,11,6,3,3
Alaves,Ath Bilbao,2,1,H,1,1,4,4,13,4,5,17,12,2,9,4
Valladolid,Espanol,2,1,H,0,0,6,21,6,6,2,10,18,4,2,1
Getafe,Sevilla,0,3,A,0,1,2,10,8,2,5,14,17,5,3,7
Ath Madrid,Villarreal,3,1,H,1,1,9,16,10,9,4,14,6,6,1,1
Sociedad,Valladolid,1,0,H,0,0,4,13,6,4,1,15,11,8,4,1
Eibar,Levante,3,0,H,1,0,9,13,11,9,4,15,16,3,6,3
Valencia,Betis,2,1,H,0,0,5,10,14,5,5,13,9,6,7,2
Leganes,Alaves,1,1,D,0,0,6,19,8,6,4,18,18,6,4,3
